# Px, Py, Pz
-0.766225 -4.487200 0.556451
-1.679520 -4.777930 -0.030509
-2.019820 -3.458200 -0.433966
-1.303190 -4.196470 0.121628
-1.515510 -4.992360 -0.492448
-0.160201 -6.290470 -0.301750
0.075009 -4.355390 0.705623
-0.153416 -4.080770 -0.016949
0.046621 -5.119080 -0.237336
-0.433130 -3.670120 -0.208085
-0.275469 -5.192820 -0.348358
-0.713254 -3.671810 -1.099340
0.844634 -4.422780 -2.507200
0.142396 -5.267840 -2.534740
-0.678507 -3.998130 -2.356330
0.152145 -5.392020 -3.479820
1.354460 -4.986860 -2.472450
-0.637396 -5.372950 -1.952870
0.300480 -5.715370 -1.587980
0.520843 -4.562210 -1.860480
1.372260 -4.478720 -1.518910
1.665960 -4.274440 -1.214180
1.399390 -4.360900 -1.145960
1.380740 -5.058470 -1.475250
0.672572 -5.661120 -1.994400
0.394984 -5.681460 -0.502632
1.092140 -4.832170 -1.505750
0.329719 -4.588070 -2.669090
-0.548399 -3.976930 -2.296570
0.648412 -4.299030 -1.269710
0.366161 -4.751220 -1.531200
-0.661126 -4.203250 -2.013890
-0.476345 -3.629420 -1.332860
-0.213599 -3.111980 -2.261400
0.035594 -3.109850 -2.146970
-0.495423 -3.593400 -2.061370
0.008050 -4.491860 -1.733340
0.656464 -3.930320 -1.624420
0.552640 -5.435660 -1.174770
0.533984 -6.812160 -1.311240
1.012450 -5.643320 0.227572
1.036620 -3.530250 -0.174598
1.581200 -4.382940 -0.636551
2.081270 -3.344640 0.000424
1.025590 -3.794710 -0.915406
1.011610 -3.244190 -1.066700
1.196380 -3.181460 -1.570600
1.223510 -3.522630 -1.510430
0.059752 -3.212830 -0.729353
1.283690 -3.882010 -1.402780
2.099500 -2.932700 -0.387358
1.251900 -4.850390 -1.557470
0.227998 -4.488890 -0.233517
-1.262500 -4.273600 -1.348950
-2.162640 -3.658220 -1.804540
-0.895495 -3.464990 -2.107560
-1.298950 -2.362690 -0.667912
-2.341080 -1.765990 -1.391760
-2.188500 -2.680550 -1.810470
-1.497280 -1.049740 -1.670620
-0.688670 -1.701560 -0.908624
-0.369125 -1.827860 -1.710880
-0.427193 -3.245890 -0.206383
-1.867270 -4.009150 -1.042970
-1.173930 -2.604680 -0.727670
-1.617220 -2.369890 -0.787845
-1.268010 -2.718260 -1.588410
-0.236909 -3.733680 -1.561710
-0.962443 -4.061270 -2.236820
0.460245 -3.949390 -0.262335
-0.358527 -3.436590 -2.506360
0.887868 -4.501610 -2.619090
-1.357850 -3.954480 -1.654520
-1.644760 -3.961260 -2.589840
0.088580 -3.911250 -3.272580
0.285224 -2.811910 -0.892092
0.742064 -3.124680 -1.071380
-0.068656 -3.453970 -2.102470
0.511521 -3.439130 -1.685030
0.375913 -2.842000 -1.132390
0.015251 -3.626880 -1.890570
-0.922615 -3.801490 -1.234540
-1.799880 -2.864040 -1.713420
-2.175370 -4.005750 -1.136630
-2.524570 -2.359730 -0.037715
-1.398960 -1.628660 -0.437365
-1.836750 -2.290630 -0.510254
-2.788180 -1.423120 -0.812849
-3.516270 -1.585430 -0.829387
-4.529990 -0.002965 0.215705
-4.251130 -0.261068 -0.703086
-3.461610 -0.394559 -0.833189
-4.925410 0.617056 -1.198930
-4.239690 -0.806490 -0.286488
-3.843860 -0.032209 -0.986590
-3.461610 0.453887 -0.906085
-2.248270 -0.394548 -1.721900
-1.648150 -0.270377 -2.117730
-1.766830 0.631045 -2.741990
-1.917700 2.292330 -2.293180
-1.966860 1.757920 -1.631200
-2.120700 0.363614 -1.821070
-2.235550 0.055102 -2.330470
-1.808360 -1.069240 -2.277500
-1.571440 0.027556 -3.691740
-2.040600 0.112731 -3.994310
-1.697740 -0.231400 -3.845570
-0.439478 -0.379724 -4.137130
-1.916840 -0.912438 -3.893880
-1.580770 -2.642390 -3.470070
-1.189180 -1.634600 -3.359040
-0.912446 -2.064330 -2.505500
-1.098910 -0.475930 -3.730710
-1.735880 -0.321234 -1.652400
-1.366340 -0.475072 -3.840910
-1.089170 -1.286660 -3.989650
-1.135350 -1.997370 -4.110440
-2.220290 -2.465240 -3.039490
-2.040590 -4.042210 -3.551860
-1.833780 -3.556120 -2.433890
-2.644510 -4.068480 -2.443210
-1.397680 -4.760540 -1.410410
-1.068820 -3.972710 -2.082130
-0.933637 -3.814200 -1.787160
-0.431836 -3.619250 -2.071950
-1.601960 -4.228250 -1.773180
-1.606200 -4.013380 -0.929386
-2.125780 -2.700020 -2.892850
-2.330050 -3.133570 -1.684190
-2.347850 -3.907860 -2.237670
-2.152060 -3.223000 -2.642400
-1.627820 -4.126970 -2.104170
-1.714270 -4.666040 -2.202490
-1.754950 -3.943890 -2.163500
-0.856070 -4.590180 -1.197230
-1.325650 -3.428120 -1.414650
-1.632900 -3.295470 -0.720469
-1.743090 -3.255630 0.015265
-2.285550 -2.743260 -1.985090
-2.980150 -3.158580 -1.247240
-3.756980 -3.135270 -1.826580
-3.303110 -3.508640 -1.890160
-2.965330 -3.302680 -2.983130
-1.862600 -4.214690 -2.121120
-2.861500 -2.689860 -2.678420
-3.044580 -2.986930 -3.710380
-3.232320 -3.243340 -3.462870
-3.057710 -2.733510 -3.015330
-1.825300 -1.704510 -2.318600
-2.088060 -1.814280 -2.024080
-3.679430 -0.497118 -2.701310
-3.718420 -0.809455 -1.533730
-3.869290 -0.855646 -1.096370
-3.541700 -1.486260 -1.295130
-4.187570 0.609850 -1.441350
-3.793860 0.902268 -1.388790
-4.394810 0.115281 -2.196560
-3.343360 -0.541189 -2.306320
-3.240370 -0.436520 -2.400410
-2.806420 -1.089590 -2.394050
-2.127060 0.552205 -2.652980
-1.878710 -0.058904 -2.960250
-3.036520 0.244958 -1.532890
